,,,,,,,,1.95,,,,
Congruent,Incongruent,Sample Difference,,,8.63,15.687,,2.196,,,,
12.079,19.278,7.199,0.586436877,,8.987,17.394,,2.348,,,,
16.791,18.741,1.95,36.17771879,,9.401,17.425,,2.437,,,,
9.564,21.214,11.65,13.58076046,,9.564,17.51,,3.346,,,,
8.63,15.687,7.057,0.82408571,,10.639,17.96,,3.401,,,,
14.669,22.803,8.134,0.02863146,,11.344,18.644,,3.727,,,,
12.238,20.878,8.64,0.455906293,,12.079,18.741,,5.153,,,,
14.692,24.572,9.88,3.66802296,,12.13,19.278,,6.081,,,,
8.987,17.394,8.407,0.19554821,,12.238,20.33,,6.644,,,,
9.401,20.762,11.361,11.53423104,,12.369,20.429,,7.057,,,,
14.48,26.282,11.802,14.72416779,,12.944,20.762,,7.199,,,,
22.328,24.524,2.196,33.27895729,,14.233,20.878,,8.134,,,,
15.298,18.644,3.346,21.33323646,,14.48,21.157,,8.407,,,,
15.073,17.51,2.437,30.55648071,,14.669,21.214,,8.64,,,,
16.929,20.33,3.401,20.82819438,,14.692,22.058,,9.79,,,,
18.2,35.255,17.055,82.63188754,,15.073,22.158,,9.88,,,,
12.13,22.158,10.028,4.256828627,,15.298,22.803,,10.028,,Sample Difference,,
18.495,25.139,6.644,1.744490627,,16.004,23.894,,10.95,,,,
10.639,20.429,9.79,3.33138546,,16.791,24.524,,11.361,,Confidence Level(95.0%),2.054236243,
11.344,17.425,6.081,3.548671043,,16.929,24.572,,11.65,,,,
12.369,34.288,21.919,194.7199302,,18.2,25.139,,11.802,,,,
12.944,23.894,10.95,8.911468793,,18.495,26.282,,17.055,,,Sample Difference,
14.233,17.96,3.727,17.95887821,,19.71,34.288,,21.919,,,,
19.71,22.058,2.348,31.54834863,,22.328,35.255,,,,,Mean,7.964791667
16.004,21.157,5.153,7.906172377,,,,,,,,Standard Error,0.993028635
,,,,,,,,,,,Median,7.6665
14.051125,22.01591667,7.964791667,544.33044,,,,,,,,Mode,#N/A
,,Variance->,23.66654087,,,,,,,,Standard Deviation,4.86482691
,,SD ->,4.86482691,,,,Bin range,,,,Sample Variance,23.66654087
,,,,,,,,,,,Kurtosis,1.710013635
,,,,,,,,,,,Skewness,1.073209987
,,,,,,,,,,,Range,19.969
,,,,,,,,,,,Minimum,1.95
,,,,,,,,,,,Maximum,21.919
,,,,,,,,,,,Sum,191.155
,,,,,,,,,,,Count,24
